id,roman_catholic_2011,greek_catholic_2011,calvinist_2011,lutheran_2011,orthodox_christian_2011,other_christian_2011,jewish_2011,atheist_2011,other_2011,percentage_of_religious_population_2011,roman_catholic_2022,greek_catholic_2022,calvinist_2022,lutheran_2022,orthodox_christian_2022,other_christian_2022,jewish_2022,atheist_2022,other_2022,percentage_of_religious_population_2022,change_in_the_number_of_religious_population,educational_attainment_level_2011,educational_attainment_level_2022,bellow_eight_grade_2011,primary_school_2011,secondary_school_2011,high_school_2011,higher_education_2011,bellow_eight_grade_2022,primary_school_2022,secondary_school_2022,high_school_2022,higher_education_2022,change_in_educational_attainment_level
55,15213.0,2480.0,6666.0,27.0,8.0,233.0,0.0,2371.0,39.0,0.9123,11919.0,2317.0,5003.0,30.0,3.0,238.0,6.0,2392.0,9.0,0.8909,-0.2084,0.3784,0.4251,6832,10287,5841,5469,2240,5104,8875,6041,6104,2240,0.046699999999999964
56,11519.0,2013.0,3371.0,277.0,0.0,160.0,0.0,909.0,10.0,0.9502,6985.0,1775.0,2439.0,199.0,3.0,109.0,0.0,1309.0,5.0,0.8979,-0.3363,0.3792,0.4155,4582,6246,3809,3349,1472,3418,6167,3683,3792,1472,0.0363
57,8373.0,1089.0,3958.0,45.0,0.0,102.0,0.0,551.0,19.0,0.961,5954.0,812.0,3098.0,44.0,0.0,89.0,0.0,734.0,7.0,0.9316,-0.2637,0.3772,0.4473,3376,5322,3087,2632,1307,2256,4416,3009,3301,1307,0.0701
58,17135.0,3444.0,14222.0,422.0,13.0,774.0,5.0,13600.0,375.0,0.7279,10240.0,2770.0,9727.0,332.0,23.0,572.0,8.0,9255.0,82.0,0.7196,-0.3472,0.478,0.5324,8322,16925,14478,16463,6600,5689,11960,12836,17181,6600,0.054400000000000004
59,3625.0,139.0,6239.0,14.0,4.0,188.0,0.0,1449.0,5.0,0.8758,1983.0,123.0,4070.0,10.0,0.0,130.0,0.0,1792.0,16.0,0.7794,-0.3801,0.378,0.4319,2580,5029,2744,2234,809,1668,4293,2827,2669,809,0.0539
60,22312.0,212.0,6163.0,55.0,3.0,464.0,0.0,3502.0,54.0,0.8931,14995.0,296.0,4663.0,48.0,10.0,414.0,6.0,3427.0,41.0,0.8566,-0.3004,0.461,0.5319,5869,11387,9284,9619,4882,3608,8484,8774,10566,4882,0.07090000000000002
61,80143.0,10765.0,44505.0,1925.0,170.0,3327.0,108.0,39116.0,610.0,0.7835,56601.0,9456.0,35980.0,1525.0,246.0,3083.0,101.0,25664.0,497.0,0.8073,-0.2406,0.5451,0.5967,28029,52734,39772,74593,44573,20998,37720,35690,72350,44573,0.05159999999999998
62,24485.0,909.0,3548.0,305.0,0.0,1197.0,9.0,10408.0,227.0,0.7467,15475.0,849.0,2447.0,170.0,9.0,912.0,4.0,8177.0,46.0,0.7089,-0.351,0.4146,0.4522,9268,15898,10804,10517,3780,6524,13444,10376,10411,3780,0.03759999999999997
63,6735.0,291.0,5326.0,107.0,3.0,326.0,3.0,2227.0,15.0,0.8519,4284.0,295.0,3749.0,55.0,0.0,241.0,5.0,2088.0,13.0,0.8054,-0.3252,0.407,0.4625,3062,6252,3815,3634,1240,2019,4723,3853,3917,1240,0.05550000000000005
64,8376.0,3331.0,5600.0,36.0,5.0,295.0,0.0,1109.0,30.0,0.941,6122.0,2603.0,4315.0,31.0,10.0,185.0,5.0,1010.0,18.0,0.9294,-0.2481,0.4601,0.536,3636,6884,5165,5048,3074,2075,4503,4617,5327,3074,0.07590000000000002
65,8372.0,2762.0,4885.0,45.0,11.0,323.0,6.0,2107.0,32.0,0.8864,5944.0,2028.0,3761.0,35.0,13.0,265.0,6.0,1128.0,19.0,0.9145,-0.2656,0.4871,0.5483,2873,6020,4524,5743,2729,1764,4238,4117,5941,2729,0.06120000000000003
66,18158.0,1492.0,9800.0,71.0,3.0,374.0,0.0,2286.0,32.0,0.929,12613.0,1386.0,7281.0,63.0,11.0,354.0,7.0,2567.0,24.0,0.8944,-0.2737,0.4255,0.4802,7005,11408,7919,8215,3415,4414,9563,7263,8906,3415,0.054700000000000026
67,6979.0,2529.0,4254.0,46.0,0.0,91.0,0.0,777.0,19.0,0.9471,4897.0,2308.0,2967.0,31.0,7.0,81.0,0.0,1275.0,9.0,0.8898,-0.26,0.3917,0.4347,3474,5198,3129,3151,1240,2630,4607,3216,3434,1240,0.04299999999999998
68,9443.0,1102.0,5746.0,55.0,6.0,236.0,0.0,5817.0,51.0,0.741,6754.0,895.0,4760.0,40.0,60.0,221.0,6.0,4741.0,50.0,0.7295,-0.2316,0.5015,0.5502,4034,7299,6323,8040,4428,2908,5838,5865,8282,4428,0.04870000000000008
69,4655.0,998.0,3436.0,41.0,7.0,66.0,4.0,1185.0,18.0,0.8862,3068.0,682.0,2633.0,30.0,5.0,77.0,5.0,972.0,8.0,0.8701,-0.2945,0.4533,0.5212,1940,3896,2519,2980,1469,1254,2515,2217,2967,1469,0.06790000000000002
122,20268.0,122.0,1596.0,4020.0,8.0,583.0,8.0,2766.0,87.0,0.9061,14270.0,207.0,1679.0,3477.0,17.0,595.0,14.0,3449.0,76.0,0.855,-0.2382,0.4708,0.5373,4864,9906,7942,8657,4988,3730,7866,7711,10546,4988,0.0665
123,28763.0,904.0,9708.0,1160.0,123.0,1395.0,164.0,16674.0,539.0,0.7194,27439.0,1091.0,9623.0,1475.0,185.0,1496.0,157.0,16044.0,377.0,0.7228,-0.0214,0.6145,0.6578,9077,12870,9769,22315,32212,10706,11908,9272,25365,32212,0.043300000000000005
124,31892.0,268.0,10632.0,3987.0,55.0,958.0,27.0,15085.0,217.0,0.761,22041.0,358.0,9529.0,3256.0,85.0,953.0,28.0,14104.0,154.0,0.7208,-0.2422,0.456,0.5187,12019,24822,19291,18978,10420,8962,20156,19550,23395,10420,0.06270000000000003
125,23568.0,203.0,4579.0,948.0,44.0,570.0,24.0,6607.0,75.0,0.8196,17381.0,280.0,4008.0,783.0,53.0,659.0,16.0,7179.0,102.0,0.7643,-0.2242,0.4487,0.5143,6734,13814,9934,10505,5624,5166,11789,10175,13524,5624,0.06559999999999999
